FECHA,ID,CHASIS,MODELO,CILINDRADA,NUM. MOTOR,COLOR,RUEDA,OBS,COD MOD,COD MOTOR
2026-03-25,1,PPA1A4E2TSB00601,Cub 110,110,1P52FMH S9B00601,NEGRO,ALEACION,,1A,1P52FMH
2026-03-25,2,PPABA4E3TSB00602,Urban 110,110,1P52FMH S9B00602,AZUL,RAYOS,,BA,1P52FMH
2026-03-25,3,PPA2B4E4TSB00603,VX125,125,1P53FMI S9B00603,GRIS,ALEACION,,2B,1P53FMI
2026-03-25,4,PPAAD5E2TSB00604,Super Sport 200,200,163FML  S9B00604,NEGRO,ALEACION,,AD,163FML
2026-03-25,5,PPAEE5E3TSB00605,Rally 250,250,165FMM  S9B00605,ROJO,RAYOS,Prueba inicial,EE,165FMM
2026-03-24,6,PPAGC4E2TSB00606,Faiter SE 150,150,162FMJ  S9B00606,NEGRO,ALEACION,,GC,162FMJ
2026-03-24,7,PPA1A4E3TSB00607,Cub 110,110,1P52FMH S9B00607,NARANJA,ALEACION,,1A,1P52FMH
2026-03-24,8,PPABA4E4TSB00608,Urban 110,110,1P52FMH S9B00608,BLANCO,RAYOS,,BA,1P52FMH
2026-03-23,9,PPA2B5E2TSB00609,VX125,125,1P53FMI S9B00609,NEGRO,ALEACION,,2B,1P53FMI
2026-03-23,10,PPA1A5E3TSB00610,Cub 110,110,1P52FMH S9B00610,AZUL,ALEACION,,1A,1P52FMH
2026-03-23,11,PPAAD5E4TSB00611,Super Sport 200,200,163FML  S9B00611,GRIS,ALEACION,,AD,163FML
2026-03-20,12,PPAEE5E5TSB00612,Rally 250,250,165FMM  S9B00612,NEGRO,RAYOS,,EE,165FMM
2026-03-20,13,PPAGC4E3TSB00613,Faiter SE 150,150,162FMJ  S9B00613,ROJO,ALEACION,,GC,162FMJ
2026-03-15,14,PPA1A4E4TSB00614,Cub 110,110,1P52FMH S9B00614,NEGRO,ALEACION,,1A,1P52FMH
2026-03-15,15,PPABA5E2TSB00615,Urban 110,110,1P52FMH S9B00615,NARANJA,RAYOS,,BA,1P52FMH
